,,cycle,cycle,cycle,cycle,cycle,cycle,cycle,cycle,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet,dt_bet
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
asset,zone,,,,,,,,,,,,,,,,
M1,A,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:11.422500,0 days 00:04:09.518029,0 days 00:04:37,0 days 00:09:49.750000,0 days 00:13:03,0 days 00:16:04.750000,0 days 00:26:25
M1,AE1,270.0,205.90740740740742,114.32232338972008,1.0,109.25,211.5,305.75,398.0,270,0 days 00:06:15.188888,0 days 00:02:53.140029,0 days 00:00:40,0 days 00:04:11.500000,0 days 00:06:04.500000,0 days 00:07:57.500000,0 days 00:15:35
M1,AE2,290.0,198.7,114.64702713306536,1.0,103.25,197.0,302.75,399.0,290,0 days 00:05:54.627586,0 days 00:02:26.366698,0 days 00:00:38,0 days 00:04:08.500000,0 days 00:05:47.500000,0 days 00:07:20.250000,0 days 00:14:11
M1,AW1,176.0,204.88636363636363,114.42346730513754,2.0,103.75,208.0,295.25,400.0,176,0 days 00:05:05.778409,0 days 00:02:36.170499,0 days 00:00:18,0 days 00:02:51.750000,0 days 00:05:07.500000,0 days 00:06:47.500000,0 days 00:11:58
M1,AW2,187.0,195.9090909090909,116.15667613845832,3.0,97.5,194.0,294.5,398.0,187,0 days 00:05:13.417112,0 days 00:02:27.961261,0 days 00:00:33,0 days 00:03:21.500000,0 days 00:05:09,0 days 00:06:53.500000,0 days 00:11:35
M1,B,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:17.657500,0 days 00:04:07.333884,0 days 00:04:39,0 days 00:10:17.750000,0 days 00:12:47.500000,0 days 00:15:48,0 days 00:27:35
M1,BE1,169.0,200.50295857988166,117.08092054421344,4.0,92.0,205.0,303.0,400.0,169,0 days 00:05:20.952662,0 days 00:02:42.978592,0 days 00:00:12,0 days 00:03:04,0 days 00:05:18,0 days 00:07:14,0 days 00:11:44
M1,BE2,184.0,204.44565217391303,114.83362772940619,2.0,113.5,211.0,297.5,397.0,184,0 days 00:05:07.391304,0 days 00:02:29.016664,0 days 00:00:13,0 days 00:03:21,0 days 00:05:12,0 days 00:07:03.250000,0 days 00:10:47
M1,BW1,287.0,196.79094076655053,112.71555040125881,1.0,104.5,194.0,292.0,399.0,287,0 days 00:05:56.442508,0 days 00:02:39.876053,0 days 00:00:34,0 days 00:03:53,0 days 00:05:33,0 days 00:07:40.500000,0 days 00:13:06
M1,BW2,177.0,203.3954802259887,117.14376162880582,6.0,103.0,199.0,305.0,400.0,177,0 days 00:05:15.711864,0 days 00:02:35.371298,0 days 00:00:40,0 days 00:03:18,0 days 00:05:11,0 days 00:07:02,0 days 00:11:49
M1,F,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:35:57.035000,0 days 00:07:40.322523,0 days 00:19:55,0 days 00:29:44.500000,0 days 00:35:26.500000,0 days 00:42:00.500000,0 days 00:54:01
M1,I,331.0,196.11480362537765,115.11303585004103,1.0,100.5,192.0,294.5,400.0,331,0 days 00:05:55.649546,0 days 00:02:28.094312,0 days 00:00:44,0 days 00:04:11.500000,0 days 00:05:51,0 days 00:07:23,0 days 00:14:27
M1,O,297.0,201.58922558922558,115.09282219737999,1.0,104.0,206.0,298.0,400.0,297,0 days 00:06:08.558922,0 days 00:02:31.064770,0 days 00:01:10,0 days 00:04:11,0 days 00:06:02,0 days 00:07:57,0 days 00:13:10
M10,A,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:33.707500,0 days 00:04:19.455583,0 days 00:04:24,0 days 00:10:20.250000,0 days 00:12:52,0 days 00:16:13.500000,0 days 00:28:21
M10,AE1,285.0,206.33333333333334,115.56144840217048,1.0,105.0,210.0,307.0,399.0,285,0 days 00:06:08.642105,0 days 00:02:33.676121,0 days 00:00:40,0 days 00:04:17,0 days 00:06:01,0 days 00:08:02,0 days 00:13:45
M10,AE2,312.0,201.375,115.67366122121986,1.0,102.75,202.5,299.5,400.0,312,0 days 00:05:55.205128,0 days 00:02:33.608941,0 days 00:00:20,0 days 00:04:16.500000,0 days 00:05:46.500000,0 days 00:07:26.500000,0 days 00:14:34
M10,AW1,163.0,189.72392638036808,114.49628212970674,3.0,90.5,181.0,284.5,399.0,163,0 days 00:05:03.006134,0 days 00:02:35.703798,0 days 00:00:42,0 days 00:02:53,0 days 00:04:35,0 days 00:06:48.500000,0 days 00:11:12
M10,AW2,178.0,193.96629213483146,117.03391265128174,1.0,92.25,194.0,294.25,397.0,178,0 days 00:05:38.235955,0 days 00:02:38.537704,0 days 00:01:02,0 days 00:03:30.250000,0 days 00:05:29.500000,0 days 00:07:21.750000,0 days 00:12:53
M10,B,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:21.642500,0 days 00:04:01.745210,0 days 00:04:27,0 days 00:10:22.250000,0 days 00:12:53,0 days 00:15:58.250000,0 days 00:27:06
M10,BE1,158.0,196.95569620253164,115.39377859885313,3.0,106.25,179.0,300.25,400.0,158,0 days 00:05:11.278481,0 days 00:02:27.745084,0 days 00:01:06,0 days 00:03:14.500000,0 days 00:04:54,0 days 00:07:01,0 days 00:12:43
M10,BE2,162.0,201.61111111111111,118.23196749037866,2.0,90.75,201.5,306.5,400.0,162,0 days 00:05:12.518518,0 days 00:02:31.547799,0 days 00:00:16,0 days 00:03:12,0 days 00:05:01.500000,0 days 00:06:46.500000,0 days 00:10:59
M10,BW1,313.0,209.14376996805112,114.32926653759236,1.0,112.0,213.0,307.0,399.0,313,0 days 00:05:58.654952,0 days 00:02:31.211313,0 days 00:00:28,0 days 00:04:10,0 days 00:05:57,0 days 00:07:37,0 days 00:14:24
M10,BW2,192.0,200.09895833333334,113.55883037890281,8.0,105.75,190.0,298.5,399.0,192,0 days 00:04:59.270833,0 days 00:02:37.797635,0 days 00:00:21,0 days 00:02:55.500000,0 days 00:04:42,0 days 00:06:41.500000,0 days 00:10:50
M10,F,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:36:16.355000,0 days 00:07:41.569094,0 days 00:20:06,0 days 00:29:37.750000,0 days 00:35:26,0 days 00:42:07.750000,0 days 00:57:24
M10,I,331.0,202.06042296072508,114.14646082914952,3.0,105.0,208.0,298.5,400.0,331,0 days 00:05:42.120845,0 days 00:02:43.599540,0 days 00:00:07,0 days 00:03:46,0 days 00:05:30,0 days 00:07:18,0 days 00:14:34
M10,O,307.0,198.84364820846906,115.74256558112351,1.0,100.5,201.0,297.5,400.0,307,0 days 00:06:02.084690,0 days 00:02:40.377065,0 days 00:00:15,0 days 00:04:04.500000,0 days 00:05:46,0 days 00:07:39.500000,0 days 00:12:58
M11,A,400.0,200.5,115.61430130683084,1.0,100.75,200.5,300.25,400.0,400,0 days 00:13:23.935000,0 days 00:03:56.345804,0 days 00:04:09,0 days 00:10:23,0 days 00:13:11,0 days 00:16:11,0 days 00:24:48
M11,AE1,294.0,199.37755102040816,117.05882380890681,1.0,94.5,199.5,302.75,400.0,294,0 days 00:06:16.438775,0 days 00:02:36.053290,0 days 00:00:42,0 days 00:04:21.250000,0 days 00:06:02.500000,0 days 00:08:09,0 days 00:12:56
M11,AE2,291.0,201.71134020618555,117.16742739929929,1.0,102.5,199.0,306.5,400.0,291,0 days 00:06:04.154639,0 days 00:02:30.867949,0 days 00:00:31,0 days 00:04:14,0 days 00:05:56,0 days 00:07:45,0 days 00:12:36
M11,AW1,165.0,213.0909090909091,115.00990509738705,4.0,119.0,214.0,308.0,400.0,165,0 days 00:05:17.903030,0 days 00:02:38.045540,0 days 00:00:19,0 days 00:03:17,0 days 00:04:55,0 days 00:07:09,0 days 00:11:20
